iter	Passed	Remaining
0	61	61395
1	62	30955
2	62	20774
3	64	16144
4	65	13012
5	65	10930
6	66	9439
7	67	8310
8	67	7428
9	67	6722
10	68	6144
11	68	5663
12	69	5255
13	69	4906
14	70	4602
15	70	4337
16	70	4103
17	71	3895
18	71	3709
19	72	3541
20	72	3389
21	73	3250
22	73	3126
23	74	3017
24	74	2918
25	75	2824
26	80	2887
27	80	2801
28	81	2719
29	81	2641
30	82	2567
31	82	2498
32	83	2433
33	83	2372
34	83	2314
35	84	2259
36	84	2207
37	85	2171
38	89	2196
39	90	2177
40	91	2132
41	91	2089
42	92	2048
43	92	2009
44	92	1971
45	93	1935
46	93	1901
47	94	1868
48	94	1836
49	95	1811
50	95	1783
51	96	1755
52	96	1728
53	97	1702
54	97	1677
55	98	1653
56	98	1629
57	98	1606
58	99	1585
59	99	1563
60	101	1567
61	102	1547
62	102	1527
63	103	1510
64	103	1493
65	104	1477
66	104	1461
67	105	1441
68	105	1427
69	106	1411
70	106	1395
71	107	1380
72	107	1365
73	108	1352
74	108	1338
75	108	1325
76	109	1313
77	110	1301
78	110	1290
79	111	1278
80	111	1268
81	112	1257
82	112	1247
83	113	1237
84	113	1224
85	114	1215
86	114	1203
87	115	1194
88	115	1185
89	116	1176
90	116	1168
91	117	1159
92	118	1150
93	118	1142
94	119	1134
95	119	1126
96	120	1119
97	122	1127
98	123	1120
99	123	1113
100	124	1106
101	124	1095
102	124	1087
103	125	1079
104	125	1071
105	126	1064
106	126	1056
107	127	1049
108	127	1042
109	127	1035
110	128	1028
111	128	1021
112	129	1014
113	129	1007
114	130	1001
115	130	993
116	130	987
117	131	980
118	131	973
119	131	967
120	132	961
121	132	955
122	132	947
123	133	941
124	133	936
125	134	930
126	134	925
127	134	918
128	135	913
129	135	907
130	136	902
131	136	897
132	137	893
133	137	889
134	138	885
135	138	881
136	139	877
137	139	872
138	140	868
139	140	864
140	142	865
141	142	861
142	143	857
143	143	854
144	144	850
145	144	846
146	145	842
147	145	838
148	146	835
149	146	831
150	147	828
151	147	824
152	148	821
153	148	817
154	149	814
155	149	811
156	150	808
157	151	805
158	151	801
159	152	799
160	152	795
161	153	791
162	153	788
163	153	784
164	154	781
165	154	777
166	155	774
167	155	771
168	156	768
169	156	765
170	157	762
171	157	760
172	158	757
173	159	754
174	160	755
175	160	752
176	161	750
177	161	747
178	162	745
179	162	742
180	163	738
181	163	735
182	164	733
183	164	730
184	165	728
185	165	726
186	166	724
187	167	721
188	167	718
189	167	715
190	168	712
191	168	710
192	169	708
193	169	706
194	170	703
195	170	700
196	171	698
197	171	695
198	172	692
199	172	690
200	172	687
201	173	685
202	173	682
203	174	680
204	175	678
205	175	676
206	176	674
207	176	671
208	176	669
209	177	667
210	177	664
211	178	662
212	178	660
213	179	658
214	179	656
215	180	654
216	180	652
217	181	650
218	181	648
219	182	646
220	182	644
221	183	641
222	183	639
223	184	638
224	184	636
225	185	634
226	185	632
227	186	631
228	186	629
229	189	634
230	190	632
231	190	630
232	191	628
233	191	626
234	191	624
235	192	622
236	192	621
237	193	619
238	193	617
239	194	615
240	194	613
241	196	615
242	197	613
243	197	612
244	198	610
245	198	608
246	199	606
247	199	604
248	199	602
249	200	600
250	200	598
251	201	596
252	201	595
253	201	593
254	202	591
255	202	589
256	203	587
257	203	585
258	203	583
259	204	581
260	204	579
261	205	577
262	205	576
263	205	574
264	206	572
265	206	570
266	207	568
267	207	567
268	207	565
269	208	563
270	208	562
271	209	560
272	209	558
273	210	557
274	210	555
275	211	554
276	211	552
277	212	551
278	212	549
279	213	548
280	213	546
281	214	545
282	214	543
283	214	541
284	215	540
285	215	538
286	216	537
287	216	535
288	217	534
289	217	532
290	217	530
291	218	529
292	218	527
293	219	526
294	219	524
295	219	523
296	220	521
297	220	520
298	221	518
299	221	517
300	222	515
301	222	514
302	222	512
303	223	511
304	223	509
305	224	508
306	224	506
307	225	505
308	225	504
309	225	502
310	226	501
311	226	500
312	227	498
313	227	497
314	228	495
315	228	494
316	228	493
317	229	492
318	229	490
319	230	489
320	230	487
321	230	486
322	231	484
323	231	483
324	232	482
325	232	481
326	233	479
327	233	478
328	234	477
329	234	475
330	234	474
331	235	473
332	235	471
333	236	470
334	236	469
335	236	468
336	237	466
337	237	465
338	238	464
339	238	463
340	238	461
341	239	460
342	239	459
343	240	457
344	240	456
345	240	455
346	241	454
347	241	452
348	242	451
349	242	450
350	243	449
351	243	448
352	243	447
353	244	446
354	244	444
355	245	443
356	245	442
357	246	441
358	246	440
359	247	439
360	247	437
361	247	436
362	248	435
363	248	434
364	249	433
365	249	432
366	249	431
367	250	430
368	250	429
369	251	427
370	251	426
371	252	425
372	252	424
373	252	423
374	253	422
375	253	421
376	254	419
377	254	418
378	254	417
379	255	416
380	256	416
381	256	414
382	256	413
383	257	413
384	257	411
385	258	410
386	258	409
387	259	408
388	259	407
389	260	406
390	260	405
391	260	404
392	261	403
393	261	402
394	262	401
395	262	400
396	262	399
397	263	398
398	263	397
399	265	397
400	265	396
401	265	395
402	266	394
403	266	393
404	267	392
405	267	391
406	268	390
407	268	389
408	269	388
409	269	387
410	269	386
411	270	385
412	270	384
413	271	383
414	271	382
415	271	381
416	272	380
417	272	379
418	273	378
419	273	378
420	274	377
421	274	376
422	275	375
423	275	374
424	275	373
425	276	372
426	276	371
427	277	370
428	277	369
429	277	368
430	278	367
431	278	366
432	279	365
433	279	364
434	279	363
435	280	362
436	280	361
437	281	360
438	281	359
439	282	358
440	282	358
441	282	357
442	283	356
443	283	355
444	284	354
445	284	353
446	285	352
447	285	351
448	286	351
449	286	350
450	287	349
451	287	348
452	288	347
453	288	346
454	288	346
455	289	345
456	289	344
457	290	343
458	290	342
459	290	341
460	291	340
461	291	339
462	292	338
463	292	337
464	293	337
465	293	336
466	293	335
467	294	334
468	294	333
469	295	332
470	295	331
471	295	331
472	296	330
473	296	329
474	297	328
475	297	327
476	298	326
477	298	326
