iter	Passed	Remaining
0	60	60287
1	60	30327
2	61	20333
3	61	15337
4	62	12358
5	62	10347
6	62	8913
7	63	7836
8	63	6998
9	63	6329
10	64	5783
11	64	5324
12	65	4946
13	65	4620
14	66	4334
15	66	4082
16	66	3860
17	67	3668
18	67	3490
19	67	3329
20	68	3184
21	68	3052
22	69	2934
23	69	2826
24	69	2724
25	70	2631
26	70	2545
27	71	2469
28	71	2400
29	72	2330
30	72	2269
31	72	2208
32	73	2150
33	73	2097
34	74	2048
35	74	2000
36	75	1955
37	75	1913
38	75	1872
39	76	1833
40	76	1798
41	77	1763
42	77	1732
43	78	1701
44	78	1672
45	79	1642
46	79	1616
47	80	1588
48	80	1561
49	81	1539
50	81	1517
51	82	1496
52	82	1473
53	82	1452
54	83	1433
55	83	1413
56	84	1395
57	84	1378
58	85	1360
59	85	1343
60	86	1325
61	86	1309
62	87	1294
63	87	1279
64	88	1266
65	88	1251
66	88	1238
67	89	1225
68	90	1221
69	91	1209
70	91	1196
71	91	1183
72	92	1171
73	92	1160
74	93	1149
75	93	1138
76	94	1127
77	94	1117
78	95	1108
79	95	1099
80	95	1088
81	96	1079
82	96	1067
83	97	1057
84	97	1048
85	97	1040
86	98	1031
87	98	1023
88	99	1015
89	99	1006
90	99	998
91	100	990
92	100	983
93	101	976
94	101	969
95	102	962
96	102	955
97	103	948
98	103	941
99	103	934
100	104	927
101	104	921
102	105	915
103	105	908
104	105	902
105	106	897
106	106	892
107	107	887
108	107	882
109	108	877
110	108	872
111	109	866
112	109	861
113	110	855
114	110	850
115	110	845
116	111	839
117	111	835
118	112	830
119	112	825
120	113	821
121	113	816
122	113	812
123	114	807
124	114	803
125	115	799
126	115	795
127	116	791
128	116	786
129	117	783
130	117	779
131	117	775
132	118	771
133	118	767
134	119	764
135	119	760
136	120	756
137	120	752
138	120	749
139	121	745
140	121	741
141	122	737
142	122	733
143	122	729
144	123	727
145	123	723
146	124	720
147	124	717
148	125	714
149	125	710
150	125	707
151	126	704
152	126	701
153	127	697
154	127	694
155	127	691
156	128	689
157	128	686
158	129	683
159	129	680
160	129	676
161	130	673
162	130	670
163	131	668
164	131	666
